date,region_id,admissions,age_group,sex,temp_mean,temp_min,temp_max,dew_point,rel_humidity,pm25,is_holiday
2020-02-25,R1,17,65-74,F,7.9,3.2,13.8,-7.6,32,28.3,0
2020-02-26,R1,15,45-54,F,9.1,4.9,12.6,-15.8,15,27.3,0
2020-02-27,R1,13,75-84,M,7.8,4.3,12.5,0.8,61,29.6,0
2020-02-28,R1,8,85+,F,4.2,-1.7,10.8,-6.6,45,25.6,0
2020-02-29,R1,4,85+,M,4.9,-1.6,10.0,-1.4,63,37.8,0
2020-03-01,R1,12,55-64,M,8.0,3.6,14.2,-11.3,24,26.1,0
2020-03-02,R1,13,85+,F,5.6,0.4,9.6,0.6,70,33.3,0
2020-03-03,R1,12,55-64,M,12.1,7.2,16.8,1.6,48,24.8,0
2020-03-04,R1,9,45-54,M,3.2,-1.7,8.6,-3.6,60,26.2,0
2020-03-05,R1,15,65-74,M,3.9,-1.7,9.1,-9.1,38,29.6,0
2020-03-06,R1,18,65-74,F,1.4,-4.9,7.6,-6.4,56,31.8,0
2020-03-07,R1,8,45-54,F,11.7,7.9,15.8,5.0,63,38.0,0
2020-03-08,R1,15,85+,M,0.7,-3.0,5.3,-8.0,52,34.0,0
2020-03-09,R1,5,45-54,M,3.7,-0.7,9.2,-1.0,71,32.2,0
2020-03-10,R1,5,55-64,F,6.2,2.6,11.7,-4.0,47,23.5,0
2020-03-11,R1,11,65-74,M,9.8,5.3,14.8,3.3,64,26.8,0
2020-03-12,R1,13,85+,M,9.5,5.5,12.1,7.0,84,42.6,0
2020-03-13,R1,11,65-74,F,4.5,-0.3,8.4,-0.8,68,32.4,0
2020-03-14,R1,7,55-64,M,4.9,-0.7,8.2,-1.7,62,27.8,0
2020-03-15,R1,15,85+,M,2.0,-3.6,7.3,-8.2,46,30.6,0
2020-03-16,R1,16,55-64,F,4.2,-0.7,7.5,-9.6,35,32.1,0
2020-03-17,R1,10,55-64,F,6.0,1.7,9.7,1.5,72,31.4,0
2020-03-18,R1,16,65-74,F,6.3,1.5,12.2,1.1,69,35.8,0
2020-03-19,R1,7,85+,M,7.5,1.0,12.1,-1.3,53,31.1,0
2020-03-20,R1,8,45-54,M,-1.8,-5.9,2.2,-9.3,56,35.0,0
2020-03-21,R1,15,55-64,M,8.2,4.2,12.3,2.8,68,28.3,0
2020-03-22,R1,9,65-74,F,4.4,0.7,7.9,-0.5,70,27.6,0
2020-03-23,R1,16,55-64,F,-1.8,-5.3,2.3,-4.5,81,30.7,0
2020-03-24,R1,7,85+,M,6.7,1.9,12.0,-0.0,62,33.1,0
2020-03-25,R1,14,55-64,F,8.0,1.8,12.0,-7.7,32,29.7,0
2020-03-26,R1,17,85+,F,3.9,-0.2,8.9,-4.2,55,24.0,0
2020-03-27,R1,15,85+,M,6.9,1.5,13.2,1.7,69,32.7,0
2020-03-28,R1,12,75-84,M,10.2,3.8,15.4,6.9,80,29.0,0
2020-03-29,R1,16,65-74,F,5.2,1.5,10.1,-2.2,58,37.9,0
2020-03-30,R1,18,55-64,F,1.8,-3.1,6.0,-10.0,41,31.4,0
2020-03-31,R1,11,45-54,F,8.0,1.9,14.0,0.8,60,24.5,0
2020-04-01,R1,12,85+,F,8.9,2.8,13.7,-3.6,41,27.0,0
2020-04-02,R1,9,55-64,F,3.1,-2.2,7.7,-3.1,63,29.9,0
2020-04-03,R1,16,65-74,F,1.6,-1.3,4.7,-5.3,60,28.6,0
2020-04-04,R1,6,85+,F,6.2,-0.3,10.1,-2.3,54,24.6,0
2020-04-05,R1,10,85+,F,10.6,5.9,17.5,3.3,60,37.0,0
2020-04-06,R1,8,65-74,M,14.6,8.8,18.9,10.2,74,26.4,0
2020-04-07,R1,9,45-54,F,6.0,0.9,11.3,0.2,66,18.4,0
2020-04-08,R1,12,65-74,F,5.0,-0.1,9.3,0.4,72,21.3,0
2020-04-09,R1,10,85+,M,6.0,2.0,11.7,-1.0,60,18.4,0
2020-04-10,R1,6,55-64,F,4.9,-0.1,10.1,0.7,74,22.2,0
2020-04-11,R1,7,65-74,F,9.0,4.4,11.5,-5.9,34,23.5,0
2020-04-12,R1,10,85+,M,4.4,-1.7,8.7,-6.0,47,29.9,0
2020-04-13,R1,10,75-84,M,4.9,-1.7,9.3,3.5,90,26.3,0
2020-04-14,R1,18,45-54,F,3.1,-2.3,8.7,-6.1,50,32.2,0
2020-04-15,R1,16,45-54,F,7.0,0.7,10.1,-1.4,55,22.8,0
2020-04-16,R1,20,55-64,M,11.1,6.3,16.5,2.8,56,27.4,0
2020-04-17,R1,10,85+,M,10.5,5.2,16.1,-1.7,42,26.5,0
2020-04-18,R1,13,45-54,F,9.2,3.9,13.8,3.0,65,12.2,0
2020-04-19,R1,12,45-54,F,7.0,1.5,10.9,-2.9,49,33.5,0
2020-04-20,R1,8,75-84,M,6.9,0.3,12.1,-4.2,44,26.0,0
2020-04-21,R1,14,75-84,M,5.5,0.2,11.1,-5.5,45,21.2,0
2020-04-22,R1,14,85+,F,7.2,1.7,10.7,0.7,63,30.0,0
2020-04-23,R1,12,45-54,F,10.4,3.6,16.7,2.5,58,27.9,0
2020-04-24,R1,7,55-64,M,8.5,3.5,12.7,-0.4,53,29.2,0
2020-04-25,R1,16,45-54,F,5.0,-0.8,10.3,-7.1,41,33.1,0
2020-04-26,R1,17,55-64,F,3.1,-2.0,7.8,-5.1,54,28.8,0
2020-04-27,R1,11,55-64,F,8.1,5.2,12.7,-9.7,27,25.8,0
2020-04-28,R1,17,45-54,F,7.8,3.3,12.8,3.6,74,22.7,0
2020-04-29,R1,12,65-74,F,9.3,3.6,14.4,-1.0,48,21.0,0
2020-04-30,R1,9,55-64,M,10.9,5.8,16.3,3.9,61,27.4,0
2020-05-01,R1,8,45-54,F,10.0,5.6,14.9,-1.7,43,27.3,0
2020-05-02,R1,25,45-54,M,3.3,-1.4,6.8,-7.1,46,26.0,0
2020-05-03,R1,15,65-74,M,6.3,0.9,11.4,-0.5,61,22.7,0
2020-05-04,R1,7,45-54,F,6.1,1.7,11.1,1.4,71,25.5,0
2020-05-05,R1,10,55-64,F,9.9,3.7,16.0,4.5,69,27.4,0
2020-05-06,R1,13,75-84,F,3.0,-1.2,9.3,-1.4,72,31.7,0
2020-05-07,R1,5,55-64,M,7.5,2.4,13.6,-1.1,54,25.9,0
2020-05-08,R1,17,55-64,M,5.1,0.3,9.9,-3.0,55,32.8,0
2020-05-09,R1,11,55-64,F,5.4,-1.0,10.2,2.1,79,24.1,0
2020-05-10,R1,5,85+,M,12.7,10.0,15.7,3.0,51,23.7,0
2020-05-11,R1,11,85+,F,10.7,4.7,15.9,6.3,74,24.8,0
2020-05-12,R1,10,65-74,F,7.8,1.3,10.3,-5.4,38,17.4,0
2020-05-13,R1,14,65-74,M,4.9,0.8,12.4,2.9,87,21.1,0
2020-05-14,R1,10,45-54,M,7.7,3.7,12.6,-6.5,35,19.2,0
2020-05-15,R1,18,45-54,M,4.2,-1.7,8.4,-0.9,69,22.7,0
2020-05-16,R1,7,65-74,M,10.1,5.2,16.6,5.9,75,21.4,0
2020-05-17,R1,7,45-54,M,4.7,0.6,11.2,-6.5,44,15.9,0
2020-05-18,R1,14,55-64,M,6.6,2.2,10.8,-4.0,46,33.7,0
2020-05-19,R1,4,65-74,F,8.1,3.8,10.4,-4.9,39,13.1,0
2020-05-20,R1,12,85+,F,11.0,6.5,16.5,5.4,68,19.2,0
2020-05-21,R1,9,75-84,M,2.1,-3.0,7.4,-7.8,48,21.9,0
2020-05-22,R1,10,85+,F,12.9,8.9,19.6,3.3,52,26.9,0
2020-05-23,R1,8,55-64,M,12.1,5.6,16.3,5.6,64,17.8,0
2020-05-24,R1,11,75-84,F,14.6,10.0,20.6,7.2,61,25.3,0
2020-05-25,R1,12,45-54,F,7.7,1.1,13.0,-0.4,56,27.1,0
2020-05-26,R1,10,85+,F,9.8,4.6,13.5,2.3,59,31.0,0
2020-05-27,R1,8,75-84,F,8.6,5.7,13.8,4.0,72,12.9,0
2020-05-28,R1,13,75-84,F,10.1,7.2,15.7,5.1,71,19.3,0
2020-05-29,R1,11,45-54,M,1.7,-2.9,5.5,-2.8,72,17.1,0
2020-05-30,R1,9,75-84,F,9.6,4.2,13.1,5.9,77,16.5,0
2020-05-31,R1,9,65-74,M,11.1,5.1,16.3,-3.4,36,19.5,0
2020-06-01,R1,16,65-74,F,13.1,7.9,18.6,11.2,87,22.3,0
2020-06-02,R1,10,65-74,F,8.3,2.9,13.7,-1.0,52,14.6,0
2020-06-03,R1,12,85+,M,10.1,4.5,13.8,3.8,65,29.1,0
2020-06-04,R1,8,55-64,M,9.8,5.0,14.4,5.3,73,10.7,0
2020-06-05,R1,12,45-54,F,7.8,1.4,14.0,3.5,74,11.7,0
2020-06-06,R1,9,85+,M,12.2,5.7,18.4,-12.2,16,17.5,0
2020-06-07,R1,8,85+,F,15.2,11.3,20.5,3.7,46,15.5,0
2020-06-08,R1,12,55-64,F,10.7,5.9,15.2,1.0,51,22.2,0
2020-06-09,R1,6,45-54,M,13.3,8.7,20.6,-1.3,36,24.8,0
2020-06-10,R1,9,65-74,M,14.9,9.0,20.0,6.4,56,17.3,0
2020-06-11,R1,8,75-84,F,9.4,3.6,15.3,4.1,69,21.9,0
2020-06-12,R1,12,45-54,M,7.4,2.1,12.3,-1.5,53,5.0,0
2020-06-13,R1,15,65-74,F,13.5,9.9,20.0,5.4,57,19.3,0
2020-06-14,R1,9,65-74,M,14.0,8.0,19.0,0.8,40,10.9,0
2020-06-15,R1,7,45-54,F,17.9,12.4,23.5,10.4,61,19.2,0
2020-06-16,R1,14,75-84,F,8.8,3.5,14.0,-0.8,50,17.2,0
2020-06-17,R1,9,65-74,F,9.8,4.5,13.7,4.7,70,11.3,0
2020-06-18,R1,9,45-54,M,14.3,9.5,19.8,-3.8,28,16.8,0
2020-06-19,R1,11,45-54,F,15.1,9.2,18.1,-0.4,34,17.9,0
2020-06-20,R1,10,65-74,F,7.8,4.1,10.1,-0.3,56,15.8,0
2020-06-21,R1,14,75-84,F,13.3,10.4,18.9,7.6,68,18.1,0
2020-06-22,R1,7,75-84,M,15.6,10.2,19.1,5.0,49,13.5,0
2020-06-23,R1,8,85+,F,16.6,11.7,21.2,9.3,62,12.1,0
2020-06-24,R1,15,75-84,F,10.8,5.7,16.6,-3.6,36,16.2,0
2020-06-25,R1,8,85+,M,10.1,6.4,15.2,6.0,75,5.0,0
2020-06-26,R1,7,55-64,M,16.3,12.0,21.2,1.1,35,5.0,0
2020-06-27,R1,8,45-54,M,10.7,7.1,15.5,0.4,49,17.5,0
2020-06-28,R1,10,65-74,M,14.8,8.7,21.1,0.9,38,13.9,0
2020-06-29,R1,9,65-74,F,9.8,4.5,14.1,4.3,68,15.5,0
2020-06-30,R1,10,45-54,F,18.6,14.8,22.7,11.2,62,15.1,0
2020-07-01,R1,11,85+,M,14.9,11.4,20.4,-5.6,23,18.2,0
2020-07-02,R1,12,75-84,F,19.2,14.4,23.5,9.2,52,21.2,0
2020-07-03,R1,10,45-54,F,11.2,5.8,14.4,6.1,71,15.3,0
2020-07-04,R1,10,45-54,M,21.4,15.2,25.7,14.2,63,14.6,1
2020-07-05,R1,10,65-74,M,11.7,7.7,16.2,8.1,78,11.2,0
2020-07-06,R1,13,55-64,F,17.6,13.1,25.0,1.5,33,15.3,0
2020-07-07,R1,10,55-64,M,9.6,4.3,16.5,0.5,53,15.4,0
2020-07-08,R1,8,85+,M,16.4,12.4,21.5,6.3,51,11.3,0
2020-07-09,R1,12,65-74,F,12.7,8.4,19.6,8.7,76,14.3,0
2020-07-10,R1,9,65-74,M,17.2,12.3,22.1,8.5,56,6.5,0
2020-07-11,R1,10,75-84,F,16.7,12.5,21.8,7.3,54,21.0,0
2020-07-12,R1,7,85+,M,20.7,15.1,27.4,19.7,94,8.3,0
2020-07-13,R1,11,65-74,M,14.8,7.0,19.3,7.4,61,6.8,0
2020-07-14,R1,11,65-74,F,14.4,7.9,20.2,7.0,61,5.0,0
2020-07-15,R1,10,65-74,M,21.2,17.8,26.5,16.7,75,5.0,0
2020-07-16,R1,13,85+,M,12.5,7.8,17.2,4.4,57,10.1,0
2020-07-17,R1,8,85+,F,17.3,12.7,22.4,0.1,31,15.2,0
2020-07-18,R1,15,55-64,F,18.9,14.3,24.6,14.1,73,15.1,0
2020-07-19,R1,6,65-74,M,19.2,14.5,25.7,7.4,46,9.7,0
2020-07-20,R1,11,45-54,M,20.7,16.3,25.9,11.5,55,15.8,0
2020-07-21,R1,15,55-64,M,22.0,16.6,25.6,16.2,69,6.9,0
2020-07-22,R1,10,85+,F,19.7,13.8,24.2,9.2,50,6.3,0
2020-07-23,R1,12,65-74,F,24.6,18.2,28.0,19.0,70,19.3,0
2020-07-24,R1,7,75-84,F,19.9,16.5,25.5,15.4,75,8.1,0
2020-07-25,R1,5,65-74,F,17.7,14.3,23.2,8.1,53,6.6,0
2020-07-26,R1,11,75-84,M,20.1,15.5,25.5,8.8,48,14.4,0
2020-07-27,R1,13,55-64,M,16.2,11.8,20.2,11.4,72,15.4,0
2020-07-28,R1,8,65-74,F,24.8,19.8,28.6,13.6,49,7.6,0
2020-07-29,R1,11,55-64,M,13.5,8.9,16.7,2.9,48,7.0,0
2020-07-30,R1,17,45-54,M,21.0,17.7,25.3,13.7,63,6.3,0
2020-07-31,R1,3,45-54,F,18.6,13.5,23.0,9.6,55,10.2,0
2020-08-01,R1,5,65-74,M,20.3,15.7,26.1,11.3,56,9.7,0
2020-08-02,R1,6,55-64,F,22.1,17.0,26.6,14.1,60,9.9,0
2020-08-03,R1,11,65-74,F,21.5,15.5,26.6,14.9,65,12.6,0
2020-08-04,R1,11,65-74,M,16.7,10.6,21.6,4.2,43,17.0,0
2020-08-05,R1,20,75-84,F,21.6,16.6,25.9,15.6,68,13.3,0
2020-08-06,R1,7,85+,M,21.0,17.3,24.5,15.0,68,5.0,0
2020-08-07,R1,8,65-74,F,20.2,15.0,25.9,10.3,53,15.8,0
2020-08-08,R1,6,45-54,F,23.5,16.5,27.7,8.8,39,5.8,0
2020-08-09,R1,7,65-74,F,22.7,17.1,27.2,5.5,32,7.7,0
2020-08-10,R1,7,55-64,M,23.3,18.5,28.0,8.6,38,5.0,0
2020-08-11,R1,16,55-64,M,22.0,19.2,26.1,15.4,66,12.5,0
2020-08-12,R1,10,65-74,F,20.6,16.2,26.1,13.3,62,13.7,0
2020-08-13,R1,6,65-74,F,24.5,18.6,28.7,7.1,32,18.2,0
2020-08-14,R1,8,55-64,M,24.6,19.8,29.0,21.1,81,5.2,0
2020-08-15,R1,9,45-54,F,23.8,17.9,29.0,17.4,67,9.1,0
2020-08-16,R1,10,45-54,F,20.9,15.5,27.0,13.2,61,22.0,0
2020-08-17,R1,8,65-74,F,20.4,16.1,24.5,15.6,74,8.5,0
2020-08-18,R1,12,45-54,F,20.2,16.2,25.4,14.3,69,11.9,0
2020-08-19,R1,17,85+,M,21.2,17.2,27.5,15.4,69,13.2,0
2020-08-20,R1,12,85+,M,20.4,16.4,25.1,6.9,41,11.8,0
2020-08-21,R1,6,75-84,F,24.8,20.2,31.9,17.4,63,5.0,0
2020-08-22,R1,14,65-74,M,29.1,23.6,34.9,16.4,46,5.1,0
2020-08-23,R1,12,65-74,F,21.9,16.1,27.9,18.2,79,19.0,0
2020-08-24,R1,9,75-84,F,29.9,24.6,35.4,16.2,43,5.0,0
2020-08-25,R1,13,45-54,F,23.3,18.4,27.4,13.9,55,16.2,0
2020-08-26,R1,11,85+,F,25.0,20.6,28.4,13.5,48,9.8,0
2020-08-27,R1,11,75-84,F,26.7,22.9,32.0,19.2,63,15.4,0
2020-08-28,R1,2,75-84,F,25.1,19.3,30.7,15.9,56,5.0,0
2020-08-29,R1,11,45-54,M,25.7,19.7,30.8,-2.9,15,5.0,0
2020-08-30,R1,6,45-54,M,25.2,19.0,31.4,15.1,53,15.8,0
2020-08-31,R1,7,85+,F,22.6,17.2,27.1,20.7,89,10.1,0
2020-09-01,R1,10,75-84,M,24.8,18.5,29.9,18.4,67,11.8,0
2020-09-02,R1,7,85+,M,23.3,17.8,29.5,19.0,77,10.1,0
2020-09-03,R1,5,65-74,M,28.6,23.4,34.6,16.0,46,5.0,0
2020-09-04,R1,7,85+,M,23.6,20.7,28.5,18.3,72,5.2,0
2020-09-05,R1,7,55-64,F,26.5,20.9,32.1,18.0,59,11.0,0
2020-09-06,R1,7,65-74,M,25.3,19.1,31.9,22.3,83,5.1,0
2020-09-07,R1,13,45-54,M,23.7,18.8,30.3,14.0,54,5.0,0
2020-09-08,R1,19,85+,F,24.2,19.5,30.0,8.6,37,7.5,0
2020-09-09,R1,12,45-54,M,26.5,20.4,31.5,7.8,30,13.7,0
2020-09-10,R1,13,55-64,F,21.1,16.5,25.9,10.4,50,13.1,0
2020-09-11,R1,12,85+,F,22.5,18.4,25.9,15.5,64,8.4,0
2020-09-12,R1,9,85+,F,29.4,26.1,32.9,24.9,76,17.0,0
2020-09-13,R1,9,75-84,M,17.7,14.6,22.4,14.8,83,8.1,0
2020-09-14,R1,11,85+,F,21.9,17.9,27.1,17.2,74,9.7,0
2020-09-15,R1,15,75-84,F,27.0,21.2,34.6,17.0,54,8.1,0
2020-09-16,R1,10,85+,M,23.6,18.1,27.8,13.7,53,10.8,0
2020-09-17,R1,7,85+,F,19.1,15.4,22.8,10.6,57,5.0,0
2020-09-18,R1,13,85+,F,28.8,23.2,33.9,18.3,53,8.3,0
2020-09-19,R1,6,45-54,F,25.5,19.8,30.3,23.3,87,6.1,0
2020-09-20,R1,10,85+,M,25.6,20.6,31.4,14.2,49,14.4,0
2020-09-21,R1,11,55-64,M,24.6,21.8,29.0,20.6,78,13.4,0
2020-09-22,R1,3,55-64,M,28.6,22.7,35.1,21.5,65,15.3,0
2020-09-23,R1,12,65-74,F,25.6,19.8,30.7,14.8,51,10.8,0
2020-09-24,R1,10,75-84,M,24.3,17.6,29.1,7.0,32,20.3,0
2020-09-25,R1,10,85+,M,28.4,22.9,33.7,20.5,62,10.1,0
2020-09-26,R1,7,85+,F,20.1,14.5,25.8,13.9,67,13.0,0
2020-09-27,R1,14,45-54,M,24.7,20.1,27.6,17.9,65,9.2,0
2020-09-28,R1,9,55-64,M,29.4,24.2,34.3,22.3,65,7.1,0
2020-09-29,R1,14,55-64,M,22.0,16.1,26.9,15.2,65,13.5,0
2020-09-30,R1,17,45-54,M,22.5,15.3,28.0,16.9,70,5.0,0
2020-10-01,R1,8,85+,M,19.2,13.2,23.7,15.9,81,11.0,0
2020-10-02,R1,10,55-64,F,22.0,17.2,27.8,7.8,40,5.0,0
2020-10-03,R1,10,75-84,F,19.4,15.1,24.4,14.6,73,7.7,0
2020-10-04,R1,13,65-74,M,22.0,17.0,27.0,17.8,77,17.7,0
2020-10-05,R1,11,65-74,M,19.2,12.9,23.4,11.2,59,8.9,0
2020-10-06,R1,7,85+,F,26.2,22.2,30.5,16.4,54,5.0,0
2020-10-07,R1,11,65-74,M,24.0,19.1,28.4,18.3,70,19.2,0
2020-10-08,R1,14,65-74,M,25.9,19.4,31.4,8.6,33,14.4,0
2020-10-09,R1,13,85+,M,22.7,19.2,27.9,5.9,33,11.0,0
2020-10-10,R1,13,45-54,M,25.2,19.8,29.3,20.0,72,6.7,0
2020-10-11,R1,17,55-64,M,25.2,19.2,29.1,17.6,62,18.9,0
2020-10-12,R1,7,75-84,M,26.6,22.5,29.8,21.9,75,18.3,0
2020-10-13,R1,11,75-84,F,26.9,21.5,31.5,10.4,35,13.2,0
2020-10-14,R1,11,85+,F,25.6,19.8,31.5,14.3,49,5.0,0
2020-10-15,R1,13,55-64,F,22.5,19.3,29.2,17.2,72,16.7,0
2020-10-16,R1,10,55-64,M,24.0,19.4,31.6,17.8,68,10.7,0
2020-10-17,R1,13,75-84,M,22.4,16.9,28.5,15.7,65,13.6,0
2020-10-18,R1,5,55-64,M,23.6,17.6,29.5,11.0,45,9.0,0
2020-10-19,R1,11,45-54,M,23.2,18.6,27.7,15.0,60,10.7,0
2020-10-20,R1,12,75-84,M,26.8,23.3,32.1,20.9,70,8.4,0
2020-10-21,R1,11,65-74,M,31.7,27.6,37.6,26.6,74,8.7,0
2020-10-22,R1,18,65-74,M,24.8,18.6,29.9,15.8,57,19.3,0
2020-10-23,R1,7,55-64,M,20.9,16.5,25.3,15.6,71,18.8,0
2020-10-24,R1,9,55-64,F,21.3,17.8,26.9,9.9,48,29.4,0
2020-10-25,R1,10,75-84,M,17.2,13.5,21.6,5.9,47,16.2,0
2020-10-26,R1,11,45-54,M,23.5,19.2,27.9,9.8,41,19.2,0
2020-10-27,R1,17,55-64,M,22.0,18.4,28.1,11.7,51,12.4,0
2020-10-28,R1,8,45-54,F,20.0,14.5,24.5,18.0,88,14.6,0
2020-10-29,R1,13,85+,M,28.3,21.4,32.3,23.1,73,11.2,0
2020-10-30,R1,6,85+,F,21.4,15.5,27.2,14.4,64,8.2,0
2020-10-31,R1,10,75-84,F,21.1,18.8,24.3,17.8,81,13.1,0
2020-11-01,R1,8,45-54,M,25.5,20.8,28.0,5.7,28,10.1,0
2020-11-02,R1,14,65-74,F,27.4,23.1,34.4,18.8,59,20.5,0
2020-11-03,R1,12,65-74,M,20.7,15.8,25.1,19.8,94,15.1,0
2020-11-04,R1,10,55-64,F,19.0,14.4,24.2,16.2,83,16.8,0
2020-11-05,R1,10,45-54,F,22.7,15.3,27.2,11.3,48,9.8,0
2020-11-06,R1,12,75-84,M,26.5,20.8,33.5,10.5,36,14.7,0
2020-11-07,R1,11,85+,F,21.8,16.1,29.2,12.3,54,14.0,0
2020-11-08,R1,12,75-84,F,22.0,17.0,27.8,7.6,39,12.1,0
2020-11-09,R1,10,85+,M,20.9,15.7,25.6,14.6,67,19.1,0
2020-11-10,R1,15,45-54,M,19.5,15.4,24.4,9.7,53,10.9,0
2020-11-11,R1,9,45-54,F,21.2,15.1,26.4,20.4,95,17.6,0
2020-11-12,R1,7,45-54,F,23.4,16.3,27.5,18.2,72,18.0,0
2020-11-13,R1,19,45-54,M,16.8,13.0,22.8,7.1,53,11.6,0
2020-11-14,R1,9,65-74,M,24.7,18.5,29.1,19.8,74,13.4,0
2020-11-15,R1,6,45-54,M,21.8,16.1,26.9,7.8,40,13.4,0
2020-11-16,R1,16,65-74,M,19.1,15.3,24.4,11.8,62,21.1,0
2020-11-17,R1,9,85+,M,23.4,19.1,28.5,12.6,50,15.1,0
2020-11-18,R1,9,85+,M,22.9,15.9,27.7,22.1,95,16.8,0
2020-11-19,R1,7,85+,F,23.7,18.8,30.4,16.3,63,19.5,0
2020-11-20,R1,8,65-74,M,19.2,15.0,26.9,10.2,56,11.0,0
2020-11-21,R1,11,45-54,M,18.9,13.6,23.1,8.5,50,13.9,0
2020-11-22,R1,12,55-64,M,18.6,13.0,24.3,4.5,39,13.7,0
2020-11-23,R1,9,65-74,M,24.1,19.4,30.2,17.4,66,17.1,0
2020-11-24,R1,9,45-54,M,18.8,13.8,23.7,13.3,70,13.8,0
